text,edit_history_tweet_ids,created_at,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
@legless_dancer Hmm. We've sent you a DM with the next steps. Please check and let us know if you have any questions.,['1976899645654639064'],2025-10-11 06:36:19+00:00,1976899645654639064,0,0,0,0,0,24,0,0,6
@ArunVarma444440 Hi Arun. Try these tips if you're having issues with 2-Step Verification: https://t.co/QBOhSJTMiS. Keep us posted.,['1976899121001734543'],2025-10-11 06:34:14+00:00,1976899121001734543,0,0,0,0,0,22,0,0,6
"@JoshE72606 Hi there. You can skip that step using ""Try another way"" but we suggest answering all questions as best as you can. Keep us posted.",['1976898776435437764'],2025-10-11 06:32:51+00:00,1976898776435437764,0,0,1,0,0,20,1,0,6
"@Gavin5578424938 Hi Gavin, can you confirm if you are still able to access your account? Keep us posted.",['1976898462189801673'],2025-10-11 06:31:37+00:00,1976898462189801673,0,2,0,0,0,14,0,0,6
"@ArunVarma444440 Hi Arun. To sign in and reset your password, follow the steps at https://t.co/5DgrZkT83a. If you are unable to sign in, these tips may help: https://t.co/vQSZijYFh6. Learn how to set strong, secure passwords here: https://t.co/g7QByQhrAn. Keep us posted.",['1976895123892904047'],2025-10-11 06:18:21+00:00,1976895123892904047,0,0,2,0,0,15,2,0,6
@I3Vp2 Hi there. Try these tips if you're having issues with 2-Step Verification: https://t.co/QBOhSJTMiS. Keep us posted.,['1976883963537887419'],2025-10-11 05:34:00+00:00,1976883963537887419,0,2,0,0,0,89,0,0,5
@marck_ss18 Hi Marcos. Let's see what we can do to help. Look out for a DM with next steps.,['1976838214997405731'],2025-10-11 02:32:12+00:00,1976838214997405731,0,0,1,0,0,34,1,0,2
"@KhalifooM Hola. Consulta el siguiente artículo sobre las distintas opciones para recibir el código de verificación y poder acceder nuevamente a tu cuenta: https://t.co/MfHFDINl9d. Si aún tienes problemas, puedes publicar tu consulta en la Comunidad de Gmail para recibir ayuda de nuestros",['1976792424622989786'],2025-10-10 23:30:15+00:00,1976792424622989786,0,0,0,0,0,51,0,0,23
"This week, Google Cloud introduced Gemini Enterprise, which brings your work, data and people together in one AI-powered hub — allowing you to automate entire workflows, not just tasks. https://t.co/nW1ytVn4lw",['1976777948825895206'],2025-10-10 22:32:44+00:00,1976777948825895206,40,42,250,5,31,68309,250,40,22
@KhalifooM Hola. Lamentamos que se te haya presentado esta situación. Sigue las instrucciones de este artículo para intentar acceder nuevamente a tu cuenta: https://t.co/uvyJTskWuf. Esperamos que haya sido de ayuda. Saludos.,['1976777415046131724'],2025-10-10 22:30:37+00:00,1976777415046131724,0,1,1,0,0,27,1,0,22
"@AlamyAli68171 Hi Ali, have you already tried recovering your account using the steps here: https://t.co/5DgrZkT83a? Additionally, these tips might help: https://t.co/vQSZijYFh6. If you still have questions, let us know.",['1976771832997908600'],2025-10-10 22:08:26+00:00,1976771832997908600,0,1,0,0,0,43,0,0,22
"@HasnKador72770 Hi there. To sign in and reset your password, follow the steps at https://t.co/5DgrZkT83a. If you are unable to sign in, these tips may help: https://t.co/vQSZijYFh6. Learn how to set strong, secure passwords here: https://t.co/g7QByQhrAn. Keep us posted.",['1976758736183042167'],2025-10-10 21:16:23+00:00,1976758736183042167,0,0,0,0,1,175,0,0,21
"@garland_ga47245 Hi there, have you already tried recovering your account using the steps here: https://t.co/5DgrZkT83a? Additionally, these tips might help: https://t.co/vQSZijYFh6. If you still have questions, let us know.",['1976758357642870796'],2025-10-10 21:14:53+00:00,1976758357642870796,0,0,0,0,0,40,0,0,21
