created_at,id,edit_history_tweet_ids,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
2025-09-29 01:01:01+00:00,1972466609630622183,['1972466609630622183'],"本日(9/29)から、海外でも #PSL の愛称で親しまれる『#パンプキンスパイスラテ』が登場🎃
クリーミーで甘みのあるパンプキンの味わいに、スパイスのアクセントが秋らしい一杯です🍁

アイス🥤or ホット☕​ どちらから楽しみたいですか？
絵文字で教えてください☺ https://t.co/YXKHBbFFMA",3049,157,12911,722,555,1973095,12911,3049,1
2025-09-28 07:01:00+00:00,1972194817875890450,['1972194817875890450'],"#スターバックスリワード 会員の方には、期間中に対象商品をご購入いただくと、オリジナルデザインのスマートフォン壁紙をプレゼント🎁
実施期間：9/29(月)~10/13(月)

待ち受け画面に設定して、ふと目に入るたびに、小さな癒し時間を感じてみませんか🧸💫

詳細はキャンペーンページをご覧ください📱 https://t.co/9Eku77hXHC",477,23,3431,31,282,742266,3431,477,7
2025-09-28 03:01:05+00:00,1972134441201111266,['1972134441201111266'],"明日9/29(月)から、GELATO PIQUE + STARBUCKS®のコラボレーショングッズが、スターバックスのお店と公式オンラインストアで登場 🧸☕

🥤『ピケ モコ ブーケ &amp; ティー ラテ』上品なアールグレイの香りにフルーティーな甘さが重なる華やかな一杯。 https://t.co/mCrbTr9gt7",1737,51,8845,445,518,1884906,8845,1737,3
2025-09-26 07:01:00+00:00,1971470041783861647,['1971470041783861647'],"本日(9/26)から、『#洋なし果肉カスタマイズ』が登場🍐​
お好きなアイスビバレッジやフラペチーノ®に洋なし果肉を追加して、​いつものドリンクを秋の装いで楽しんでみませんか🍁​

おすすめは、アイスティー「#ブラックティー」へのカスタマイズ。​
ジューシーで華やかな、秋のアイスティーに。 https://t.co/8O0bBLvYFm",2704,42,13363,553,1019,1360496,13363,2704,7
2025-09-26 01:01:00+00:00,1971379444532248670,['1971379444532248670'],"【9/28(日)まで】
渋谷cocoti店にて『ピケ モコ ブーケ &amp; ティー ラテ』先行販売イベントを開催中☕

今回のコラボレーションの世界観を表現した“ふわふわ、もこもこのとびきりスイートなパジャマパーティー”の空間が登場🧁💫

お近くにお越しの際はぜひお立ち寄りください ☺️

@_gelatopique https://t.co/YHz3uERfbo",432,18,3937,38,250,1530186,3937,432,1
2025-09-25 07:01:01+00:00,1971107657080799734,['1971107657080799734'],"RT @starbucks_j_cpg: おうちで楽しむ #スターバックス の一杯を
新登場の『#ドルチェグストネオ』で✨

新搭載された独自の抽出機能で、定番のハウス ブレンドがアメリカーノスタイルでも楽しめるように☕

すっきりした味わいを楽しみながら、今日はおうちでくつろ…",99,0,0,0,0,91,0,99,7
2025-09-22 07:01:02+00:00,1970020498546586051,['1970020498546586051'],"GELATO PIQUE + STARBUCKS®
9.29(Mon) coming soon...

スターバックスとジェラート ピケが贈る、とっておきのひととき。
“とびきりスイートなパジャマパーティー”をテーマに、オリジナルグッズやビバレッジを通して特別な時間をお届けします☁️💫 https://t.co/qOt1wL2xPL",2038,54,9219,541,745,2170529,9219,2038,7
2025-09-22 01:01:05+00:00,1969929911524872556,['1969929911524872556'],"〈 こころときめくCaramel Week☕️🍃 〉
とろけるキャラメルの甘さで自分を少しだけ甘やかしながら、1週間を彩ってみませんか？☺️

🤎 Monday - エスプレッソがアクセントとなった #キャラメルマキアート でスイッチオン
🧡 Wednesday - ほんのり香ばしい #キャラメルフラペチーノ® で気持ちをリセット https://t.co/Y1yorpcP5y",603,29,4390,31,241,1032828,4390,603,1
2025-09-19 01:01:01+00:00,1968842731129815446,['1968842731129815446'],"アールグレイのムースに洋なしムースを重ね、洋なし果肉とキャラメルソースをとろりとかけた『#洋なしとキャラメルの紅茶ケーキ』が登場🍐🫖✨

香り高い紅茶とコク深いキャラメルの味わいが、洋なしの風味を引き立てます💫 https://t.co/Bd9vYexzdU",919,53,6338,125,274,1789661,6338,919,1
2025-09-18 03:01:02+00:00,1968510546380259491,['1968510546380259491'],"RT @StarbucksStoreJ: ［9/1（月）OPEN］
新業態「スターバックス リザーブ® カフェ」が新宿マルイ本館2階にまもなく誕生☕🥐
 
 こだわりのパンとドルチェのようなコーヒービバレッジを、居心地の良い空間で。
‟大人も甘やかす“ 新しいスターバックスをお…",774,0,0,0,0,106,0,774,3
2025-09-17 01:02:01+00:00,1968118208059322832,['1968118208059322832'],"#スターバックスリワード に、新しいサービス“Star Share“が登場⭐️
ご自身でためたStarを家族や友人に簡単にシェアできます📲💫
「ありがとう」や「おつかれさま」など、ちょっとした気持ちにStarを添えて届けてみませんか🎁✨

今ならあなたの体験エピソードを募集中😊
詳しくはこちら https://t.co/RGxD71NGjj",296,28,2480,32,108,1583808,2480,296,1
2025-09-16 01:01:00+00:00,1967755566614466863,['1967755566614466863'],"#チョコレートムースラテ はもうお楽しみいただけましたか？

深煎りのエスプレッソにナッツの香ばしい余韻が重なり、チョコレートのコクをより引き立てる贅沢な一杯☕️🥜

よりチョコレートの風味を楽しみたい方は、チョコレートソースを追加するのもおすすめです🍫✨ https://t.co/gmHLIn0GhX",1982,83,13833,382,920,1739987,13833,1982,1
2025-09-12 07:00:00+00:00,1966396360049177000,['1966396360049177000'],"スターバックスの創業を記念して作られた #スターバックスアニバーサリーブレンド が今年も登場☕

しっかりとしたコクと、エイジング（熟成）により醸し出されるスパイスのニュアンスを感じる力強い味わいです。 https://t.co/P15xnBW3dZ",364,52,3670,18,211,1508465,3670,364,7
2025-09-12 01:01:01+00:00,1966306018264256690,['1966306018264256690'],"RT @starbucks_j_cpg: 本日9/9(火)、『スターバックス® COFFEE OF THE DAY』が新発売💚

カフェにいるような心地よい気分と味わいを、気軽に楽しめるコーヒー飲料☕
持ち歩きやすいスリムなボトルで、気持ちを高めたいときやお出かけのお供にもおす…",367,0,0,0,0,55,0,367,1
