id,created_at,edit_history_tweet_ids,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
1968723278169534502,2025-09-18 17:06:21+00:00,['1968723278169534502'],"❤️🤍🦅 José Mourinho: “I want to tell you that none of the clubs I've had the opportunity to coach have motivated me more than being Benfica's coach”.

“The promise is clear: I will live for Benfica, for my mission. It's a tremendous honour”. https://t.co/xk5T8gHQUB",3616,1657,44153,500,504,2076015,44153,3616,17
1968677163214807435,2025-09-18 14:03:06+00:00,['1968677163214807435'],"🚨 Luis Diáz tells Movistar about Barça negotiations: “I'm very happy to be at Bayern, it’s great club. There have been talks with Barça, it’s true… which is normal in the transfer market”.

“I'm very happy with my decision. I've made an objective decision about my future”. https://t.co/lnRDbmK68X",1123,434,28590,37,161,1501511,28590,1123,14
1968676674112733593,2025-09-18 14:01:10+00:00,['1968676674112733593'],"🔴⚪️ RB Leipzig’s formal director of commercial Florian Scholz signs in as new Head of Global Soccer Commercial at RB.

Scholz will be new key figure with Jürgen Klopp who’s Head of Global Soccer. https://t.co/HASEx7m4LM",334,228,6904,4,32,719343,6904,334,14
1968674158935499244,2025-09-18 13:51:10+00:00,['1968674158935499244'],"🤍❤️‍🩹 Rodrygo: “I went through a very difficult time at the end of last season”.

“I wanted to thank my family for being there with me during that time. I also wanted to thank Mister Ancelotti, he more than anyone knows what I went through, and he helped me a lot”. https://t.co/irC2TJdE6W",1912,589,42812,93,284,1909433,42812,1912,13
1968668294186926233,2025-09-18 13:27:52+00:00,['1968668294186926233'],🔵✍🏽 Chelsea defender Genesis Antwi signs new contract until June 2028 with an option for further two years. https://t.co/ZamA6hnZ0c,846,466,18394,39,72,834027,18394,846,13
1968665780393766997,2025-09-18 13:17:52+00:00,['1968665780393766997'],"🚨⚫️🔵 After being out of Atalanta squad since July, Ademola Lookman returns in team training today.

The Nigerian winger spoke to coach Ivan Jurić and clarified his situation. https://t.co/1cujLZYYOU",2691,993,47152,288,228,2045049,47152,2691,13
1968624464226066912,2025-09-18 10:33:42+00:00,['1968624464226066912'],"🚨🦅 José Mourinho signs his contract until June 2027 at Benfica today, after verbal revealed overnight. https://t.co/3ak2xda3DV",2145,1067,32628,202,173,1353107,32628,2145,10
1968624363793477694,2025-09-18 10:33:18+00:00,['1968624363793477694'],"RT @BetwayScores: WIN 2 VIP TICKETS to watch Arsenal play at the Emirates Stadium in the Betway Scores box - WITH @fabrizioromano! 😱 

To e…",196,0,0,0,0,5,0,196,10
1968601854490685924,2025-09-18 09:03:51+00:00,['1968601854490685924'],"🚨 Dayot Upamecano on his future: “I feel comfortable here, I’m happy. My agent is speaking to Bayern officials”.

“The talks are ongoing. There's nothing more to say. We'll see what happens”, told BILD. https://t.co/Lyzk213bxN",569,395,13858,19,52,843390,13858,569,9
1968573249526153550,2025-09-18 07:10:11+00:00,['1968573249526153550'],"RT @FabrizioRomano: 🚨🦅 BREAKING: José Mourinho to Benfica, here we go! Verbal agreement until June 2027.

Mourinho has accepted Benfica pro…",13609,0,0,0,0,9,0,13609,7
